132;VALLE;NO APLICA;TULUA;Cesar Andres Contreras Millan;15;PREFERENTE;ACTOR
133;ANTIOQUIA;NO APLICA;GUATAPE;Ramiro De Jesus Tamayo Rivera;0;NO PREFERENTE;POLITICO
134;VALLE;NO APLICA;CALI;Carlos Andres Arias Rueda;7;PREFERENTE;POLITICO
135;VALLE;NO APLICA;CALI;Carlos Armando Burbano Rodriguez;10;PREFERENTE;CANTANTE
136;VALLE;NO APLICA;CALI;Margie Alejandra Alvarado Cardona;16;PREFERENTE;POLITICO
137;VALLE;NO APLICA;CALI;Merly Restrepo Tafur;19;PREFERENTE;POLITICO
138;TOLIMA;NO APLICA;LERIDA;Juan Jairo Quintero Ramirez;5;PREFERENTE;CANTANTE
139;ANTIOQUIA;NO APLICA;DABEIBA;Jose Maria Domico Nunetones;5;PREFERENTE;POLITICO
140;VALLE;NO APLICA;BOLIVAR;Fabiola Pulido Riano;1;PREFERENTE;POLITICO
141;CESAR;NO APLICA;AGUSTIN_CODAZZI;Luis Vladimir Penaloza Fuentes;0;NO APLICA;POLITICO
142;VALLE;NO APLICA;SAN_PEDRO;Leoncio Libreros Pava;1;PREFERENTE;CANTANTE
143;VALLE;NO APLICA;SAN_PEDRO;Jose Fernando Saavedra Guevara;5;PREFERENTE;POLITICO
144;ATLANTICO;NO APLICA;CAMPO_DE_LA_CRUZ;Vanessa Elvia Torres Cuette;4;PREFERENTE;CANTANTE
145;ATLANTICO;NO APLICA;CAMPO_DE_LA_CRUZ;Mario Alfredo Salas Eguis;8;PREFERENTE;POLITICO
146;BOLIVAR;NO APLICA;MARIA_LA_BAJA;Ruben Hernando Aguirre Gomez;0;NO APLICA;POLITICO
147;ATLANTICO;NO APLICA;MALAMBO;David Antonio Niebles Camargo;14;PREFERENTE;POLITICO
148;ANTIOQUIA;NO APLICA;RIONEGRO;Diego Alejandro Gomez Martinez;13;PREFERENTE;CANTANTE
149;ATLANTICO;NO APLICA;BARANOA;Roberto Carlos Rodriguez Arias;0;NO APLICA;POLITICO
150;CAUCA;NO APLICA;GUAPI;Antonio Montano Orobio;0;NO APLICA;POLITICO
151;VALLE;NO APLICA;YOTOCO;Robinson Hernandez Hernandez;10;PREFERENTE;CANTANTE
152;TOLIMA;NO APLICA;SAN_LUIS;Angela Triana Narvaez;2;PREFERENTE;OTRO
153;BOLIVAR;NO APLICA;SAN_CRISTOBAL;Tery Luz Zapata Maza;1;PREFERENTE;POLITICO
154;BOLIVAR;NO APLICA;SAN_CRISTOBAL;Pedro Antonio Sanjuan Matos;4;PREFERENTE;POLITICO
155;ATLANTICO;NO APLICA;PALMAR_DE_VARELA;Luis Ignacio Gomez Charris;6;PREFERENTE;POLITICO
156;ATLANTICO;NO APLICA;PALMAR_DE_VARELA;Martha Cecilia Escorcia Buzon;12;PREFERENTE;OTRO
157;SANTANDER;NO APLICA;BUCARAMANGA;Lusdaris Bayona Marin;4;PREFERENTE;CANTANTE
158;SANTANDER;NO APLICA;BUCARAMANGA;Yuly Ariza Obregon;17;PREFERENTE;CANTANTE
159;CALDAS;NO APLICA;NO APLICA;Paula Marcela Osorio Osorio;51;PREFERENTE;POLITICO
160;ATLANTICO;NO APLICA;POLONUEVO;Dagoberto Luna Orozco;0;NO APLICA;OTRO
161;MAGDALENA;NO APLICA;NO APLICA;Rosa Cotes De Zuniga;0;NO APLICA;ACTOR
162;ANTIOQUIA;NO APLICA;CAROLINA;Andres Felipe Sanchez Valdes;2;PREFERENTE;OTRO
163;ARAUCA;NO APLICA;ARAUQUITA;Yerson Oswaldo Campos Diaz;6;PREFERENTE;POLITICO
164;CORDOBA;NO APLICA;LOS_CORDOBAS;Carlos Andres Romero Ochoa;0;NO APLICA;POLITICO
165;ANTIOQUIA;NO APLICA;LA_UNION;Liliana Margot Echeverri Rios;5;PREFERENTE;OTRO
166;TOLIMA;NO APLICA;ARMERO_(GUAYABAL);Vladimir Garcia Palomo;2;PREFERENTE;POLITICO
167;CAUCA;NO APLICA;PURACE_(COCONUCO);Keterine Yulieth Maca Melenge;1;PREFERENTE;OTRO
168;CAUCA;NO APLICA;PURACE_(COCONUCO);Liborio Quira Caldon;9;PREFERENTE;OTRO
169;SUCRE;NO APLICA;TOLUVIEJO;Hermes Matildo Colon Rocha;0;NO APLICA;POLITICO
170;ANTIOQUIA;NO APLICA;ARBOLETES;Jorge Albeiro Bolivar Petro;3;PREFERENTE;OTRO
171;ANTIOQUIA;NO APLICA;ARBOLETES;Jorge Eliecer Barreto Lozano;7;PREFERENTE;CANTANTE
172;ANTIOQUIA;NO APLICA;ARBOLETES;Lina Alejandra Ramos Mendoza;10;PREFERENTE;CANTANTE
173;CASANARE;NO APLICA;TRINIDAD;Milton Israel Escobar Colmenares;3;PREFERENTE;ACTOR
174;CORDOBA;NO APLICA;MONTERIA;Julio Cesar Ceron Melendez;2;PREFERENTE;CANTANTE
175;CORDOBA;NO APLICA;MONTERIA;Milad Jalal Pastrana;7;PREFERENTE;POLITICO
176;NORTE_DE_SANTANDER;NO APLICA;CUCUTA;Juan Gabriel Ortega Moncada;8;PREFERENTE;CANTANTE
177;MAGDALENA;NO APLICA;SITIONUEVO;Dauguir Antonio Rematozo Gonzalez;0;NO PREFERENTE;OTRO
178;MAGDALENA;NO APLICA;SITIONUEVO;Ruby Maria Gutierrez Morales;0;NO PREFERENTE;POLITICO
179;MAGDALENA;NO APLICA;SITIONUEVO;Freddys Alfonso Echeverry Torregrosa;0;NO PREFERENTE;POLITICO
180;CUNDINAMARCA;NO APLICA;COTA;Pedro Leonardo Clavijo Patino;5;PREFERENTE;OTRO
181;CUNDINAMARCA;NO APLICA;COTA;Maximino Guerrero Garcia;8;PREFERENTE;POLITICO
182;CUNDINAMARCA;NO APLICA;COTA;Clara Andrea Martinez Chavarro;10;PREFERENTE;CANTANTE
